"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2009","11,739.8","11,911","11,960.4","11,733.4","0","-1.44%"
"Oct 26, 2009","11,622.6","11,796.8","11,833.2","11,583.8","0","-1.48%"
"Oct 27, 2009","11,634","11,590.4","11,679.3","11,546.4","0","0.38%"
"Oct 28, 2009","11,429.8","11,588","11,600","11,378.8","0","-1.37%"
"Oct 29, 2009","11,683.4","11,398.7","11,690.4","11,357.7","0","2.5%"
"Oct 30, 2009","11,414.8","11,689","11,761.1","11,366.2","0","-2.35%"
"Nov 02, 2009","11,465.8","11,354","11,514.8","11,344.3","0","0.98%"
"Nov 03, 2009","11,242.4","11,328.5","11,358.4","11,179.9","0","-0.76%"
"Nov 04, 2009","11,387.7","11,308.7","11,398.8","11,286","0","0.7%"
"Nov 05, 2009","11,548.9","11,313.9","11,621.1","11,249.6","0","2.08%"
"Nov 06, 2009","11,580.6","11,518","11,627.7","11,391.6","0","0.54%"
"Nov 09, 2009","11,816.8","11,654.7","11,816.8","11,653.8","0","1.39%"
"Nov 10, 2009","11,814","11,807.4","11,891.9","11,777.8","0","0.06%"
"Nov 11, 2009","11,801.4","11,822.9","11,893.6","11,784.9","0","-0.18%"
"Nov 12, 2009","11,834.5","11,790.2","11,916.4","11,757.4","0","0.38%"
"Nov 13, 2009","11,867","11,835.3","11,868.6","11,754.1","0","0.27%"
"Nov 16, 2009","11,986.9","11,943","12,007.1","11,910.1","0","0.37%"
"Nov 17, 2009","11,959.4","11,964.9","12,016.1","11,928.6","0","-0.05%"
"Nov 18, 2009","12,034.4","12,004","12,102.6","11,999.3","0","0.25%"
"Nov 19, 2009","11,846.2","12,028.4","12,029.7","11,817","0","-1.51%"
"Nov 20, 2009","11,719.3","11,888.9","11,942.2","11,702.2","0","-1.43%"
"Nov 23, 2009","11,940.5","11,845.9","11,975.9","11,832.9","0","0.8%"
"Nov 24, 2009","11,905.2","11,832.8","11,973","11,808","0","0.61%"
"Nov 25, 2009","11,965.8","12,004.1","12,021.5","11,900.6","0","-0.32%"
"Nov 26, 2009","11,657.5","11,894.2","11,904.5","11,639.2","0","-1.99%"
"Nov 27, 2009","11,776.8","11,431.4","11,829.2","11,415.8","0","3.02%"
"Nov 30, 2009","11,644.7","11,839.4","11,874.6","11,603.6","0","-1.64%"
"Dec 01, 2009","11,862.1","11,746.2","11,878.2","11,735.9","0","0.99%"
"Dec 02, 2009","11,868.8","11,856.7","11,930.5","11,788.2","0","0.1%"
"Dec 03, 2009","11,905.3","11,969","11,998.3","11,881.3","0","-0.53%"
"Dec 04, 2009","12,032.2","11,864.4","12,055.3","11,831.6","0","1.41%"
"Dec 07, 2009","12,011.8","11,975.8","12,065","11,930.5","0","0.3%"
"Dec 08, 2009","11,808.9","11,957.3","12,035","11,758.4","0","-1.24%"
"Dec 09, 2009","11,541.2","11,771.7","11,833.7","11,497.4","0","-1.96%"
"Dec 10, 2009","11,594.7","11,535.1","11,610.4","11,468.7","0","0.52%"
"Dec 11, 2009","11,616","11,610.5","11,676.7","11,598.3","0","0.05%"
"Dec 14, 2009","11,705.9","11,705.4","11,748.9","11,645.5","0","0%"
"Dec 15, 2009","11,735.5","11,696.7","11,757.5","11,592.4","0","0.33%"
"Dec 16, 2009","11,863.2","11,747.1","11,875.2","11,739.7","0","0.99%"
"Dec 17, 2009","11,696.9","11,764.4","11,820.5","11,648.6","0","-0.57%"
"Dec 18, 2009","11,645","11,709.6","11,814.1","11,622.6","0","-0.55%"
"Dec 21, 2009","11,830.8","11,696.9","11,843","11,656.8","0","1.14%"
"Dec 22, 2009","11,890.8","11,810.2","11,943.4","11,810","0","0.68%"
"Dec 23, 2009","11,967.5","11,957.1","11,990.4","11,916.4","0","0.09%"
"Dec 28, 2009","12,023.2","12,014","12,070.9","11,995.7","0","0.08%"
"Dec 29, 2009","12,035.1","12,034.7","12,056.5","11,985.2","0","0%"
"Dec 30, 2009","11,940","12,018.4","12,020.1","11,923","0","-0.65%"
"Jan 04, 2010","12,145.1","11,986.5","12,145.1","11,986.1","0","1.32%"
"Jan 05, 2010","12,204.4","12,141.8","12,240.5","12,139.8","0","0.52%"
"Jan 06, 2010","12,222.5","12,216.4","12,230.7","12,147.6","0","0.05%"
"Jan 07, 2010","12,166.3","12,163","12,199.7","12,079.1","0","0.03%"
"Jan 08, 2010","12,163","12,218","12,232.2","12,079.9","0","-0.45%"
"Jan 11, 2010","12,074.5","12,192.5","12,233.9","12,066.1","0","-0.97%"
"Jan 12, 2010","11,966.1","12,094.4","12,134.2","11,941.1","0","-1.06%"
"Jan 13, 2010","11,958.3","11,923","12,027.2","11,909.6","0","0.3%"
"Jan 14, 2010","11,999.8","12,049.1","12,050.4","11,902.3","0","-0.41%"
"Jan 15, 2010","11,845","12,028.5","12,085.3","11,818.6","0","-1.53%"
"Jan 18, 2010","11,870.7","11,888.5","11,897.7","11,788.8","0","-0.15%"
"Jan 19, 2010","12,022.6","11,850.4","12,049.2","11,772.5","0","1.45%"
"Jan 20, 2010","11,709","11,987.3","12,039","11,642.5","0","-2.32%"
"Jan 21, 2010","11,444","11,771.8","11,788.8","11,414.1","0","-2.78%"
"Jan 22, 2010","11,373.4","11,410","11,423.5","11,204.5","0","-0.32%"
"Jan 25, 2010","11,249.3","11,275.4","11,383.3","11,223.7","0","-0.23%"
"Jan 26, 2010","11,347.3","11,158.8","11,385.5","11,140.4","0","1.69%"
"Jan 27, 2010","11,042.2","11,199.5","11,203.9","10,997.7","0","-1.4%"
"Jan 28, 2010","10,829.3","11,154.9","11,200.5","10,829.3","0","-2.92%"
"Jan 29, 2010","10,947.7","10,904","11,045.3","10,821.2","0","0.4%"
"Feb 01, 2010","10,995.2","10,852.4","11,033.7","10,839.4","0","1.32%"
