"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2017","85.2934","84.8476","85.3169","84.6896","-","0.65%"
"Apr 03, 2017","84.7405","85.4373","85.7069","84.7281","-","-0.72%"
"Mar 31, 2017","85.3508","85.2312","85.4139","84.8970","-","0.00%"
"Mar 30, 2017","85.3488","85.1854","85.7175","85.0138","-","-0.06%"
"Mar 29, 2017","85.4023","84.7587","85.4221","84.6487","-","0.58%"
"Mar 28, 2017","84.9059","84.3925","85.0126","84.2491","-","0.68%"
"Mar 27, 2017","84.3323","84.4860","84.6107","83.9439","-","-0.23%"
"Mar 24, 2017","84.5258","84.4117","84.6934","84.3723","-","-0.08%"
"Mar 23, 2017","84.5893","84.8067","84.8518","84.3607","-","-0.08%"
"Mar 22, 2017","84.6604","84.7125","84.8531","84.2865","-","-0.31%"
"Mar 21, 2017","84.9241","85.0710","85.2866","84.7093","-","-0.22%"
"Mar 20, 2017","85.1073","85.0903","85.4356","84.9338","-","-0.04%"
"Mar 17, 2017","85.1449","84.9087","85.2082","84.7131","-","0.32%"
"Mar 16, 2017","84.8731","85.0982","85.4159","84.8410","-","0.43%"
"Mar 15, 2017","84.5137","84.2216","84.6715","84.1678","-","0.73%"
"Mar 14, 2017","83.9026","84.2879","84.4274","83.5633","-","-0.55%"
"Mar 13, 2017","84.3691","84.4662","84.7321","84.2697","-","0.12%"
"Mar 10, 2017","84.2675","84.6245","85.0427","84.1764","-","-0.37%"
"Mar 09, 2017","84.5785","85.3023","85.4127","84.2902","-","-0.83%"
"Mar 08, 2017","85.2905","86.3396","86.4576","85.2323","-","-1.23%"
"Mar 07, 2017","86.3515","87.0714","87.1085","86.2706","-","-0.87%"
"Mar 06, 2017","87.1109","87.4853","87.6422","87.0741","-","-0.09%"
"Mar 03, 2017","87.1899","87.0301","87.2270","86.8136","-","0.23%"
"Mar 02, 2017","86.9865","88.1410","88.1981","86.9120","-","-1.51%"
"Mar 01, 2017","88.3240","87.7673","88.3602","87.6146","-","0.67%"
"Feb 28, 2017","87.7388","87.0745","87.9134","86.9535","-","0.73%"
"Feb 27, 2017","87.0995","87.4601","87.6009","87.0844","-","-0.44%"
"Feb 24, 2017","87.4836","87.3760","87.6847","87.1123","-","0.13%"
"Feb 23, 2017","87.3723","87.7779","88.1204","87.2641","-","-0.21%"
"Feb 22, 2017","87.5519","87.9574","87.9574","87.4843","-","-0.36%"
"Feb 21, 2017","87.8646","88.3657","88.4622","87.8474","-","-0.28%"
"Feb 17, 2017","88.1104","88.3350","88.3350","87.8178","-","-0.42%"
"Feb 16, 2017","88.4806","89.1107","89.1595","88.4616","-","-0.60%"
"Feb 15, 2017","89.0138","88.7234","89.0643","88.4062","-","0.44%"
"Feb 14, 2017","88.6259","88.5792","89.0566","88.4233","-","-0.01%"
"Feb 13, 2017","88.6376","89.3525","89.3566","88.5870","-","-0.81%"
"Feb 10, 2017","89.3574","88.3136","89.4476","88.3052","-","0.94%"
"Feb 09, 2017","88.5273","88.5151","88.8713","88.2722","-","0.12%"
