Date,Open,High,Low,Close,Adj Close,Volume
2013-10-24,1.231490,1.234700,1.229900,1.231500,1.231500,0
2013-10-27,1.232260,1.234830,1.232260,1.232300,1.232300,0
2013-10-28,1.234700,1.236640,1.233500,1.234870,1.234870,0
2013-10-29,1.236110,1.237000,1.233660,1.236000,1.236000,0
2013-10-30,1.235500,1.235820,1.231390,1.235400,1.235400,0
2013-10-31,1.232100,1.232200,1.229700,1.232000,1.232000,0
2013-11-03,1.231000,1.232490,1.230100,1.231110,1.231110,0
2013-11-04,1.229500,1.231390,1.228900,1.229700,1.229700,0
2013-11-05,1.230730,1.232780,1.230300,1.230850,1.230850,0
2013-11-06,1.232600,1.233500,1.229080,1.232600,1.232600,0
2013-11-07,1.229100,1.231660,1.228600,1.229100,1.229100,0
2013-11-10,1.231800,1.233120,1.231300,1.231700,1.231700,0
2013-11-11,1.232700,1.233740,1.231300,1.232700,1.232700,0
2013-11-12,1.232600,1.233000,1.231400,1.232700,1.232700,0
2013-11-13,1.232100,1.233710,1.231700,1.232100,1.232100,0
2013-11-14,1.234400,1.235000,1.232600,1.234200,1.234200,0
2013-11-17,1.234200,1.234520,1.231400,1.234300,1.234300,0
2013-11-18,1.232500,1.233610,1.231900,1.232570,1.232570,0
2013-11-19,1.232500,1.233500,1.230900,1.232500,1.232500,0
2013-11-20,1.231830,1.232320,1.230700,1.231580,1.231580,0
2013-11-21,1.231300,1.232030,1.228560,1.231300,1.231300,0
2013-11-24,1.229050,1.231420,1.228810,1.229060,1.229060,0
2013-11-25,1.232460,1.232900,1.230900,1.232340,1.232340,0
2013-11-26,1.230400,1.232800,1.230100,1.230410,1.230410,0
2013-11-27,1.232650,1.232720,1.230800,1.232800,1.232800,0
2013-11-28,1.232300,1.233000,1.229100,1.232340,1.232340,0
2013-12-01,1.231300,1.232300,1.229500,1.231270,1.231270,0
2013-12-02,1.230600,1.231230,1.228000,1.230550,1.230550,0
2013-12-03,1.228900,1.229700,1.225700,1.228730,1.228730,0
2013-12-04,1.225920,1.228020,1.225200,1.225970,1.225970,0
