"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2004","1.28","1.28","1.28","1.28","-0","-0.51%"
"Apr 12, 2004","1.28","1.28","1.29","1.28","0","-0.52%"
"Apr 13, 2004","1.29","1.28","1.31","1.28","0","0.92%"
"Apr 14, 2004","1.29","1.3","1.3","1.3","-0","-0.61%"
"Apr 15, 2004","1.29","1.3","1.31","1.29","-0","-0.68%"
"Apr 16, 2004","1.29","1.29","1.3","1.29","-0","-0.51%"
"Apr 19, 2004","1.28","1.29","1.29","1.28","-0","-0.58%"
"Apr 20, 2004","1.31","1.29","1.31","1.29","0","1.2%"
"Apr 21, 2004","1.31","1.31","1.32","1.3","0","-0.35%"
"Apr 22, 2004","1.3","1.31","1.32","1.31","-0","-0.91%"
"Apr 23, 2004","1.31","1.31","1.32","1.3","0","0.06%"
"Apr 26, 2004","1.3","1.32","1.32","1.3","-0","-1.28%"
"Apr 27, 2004","1.29","1.31","1.31","1.29","-0","-1.17%"
"Apr 28, 2004","1.3","1.3","1.31","1.29","0","0.12%"
"Apr 29, 2004","1.29","1.31","1.31","1.29","-0","-1.53%"
"Apr 30, 2004","1.29","1.29","1.3","1.29","0","0%"
"May 03, 2004","1.29","1.29","1.3","1.29","0","-0.11%"
"May 04, 2004","1.27","1.3","1.3","1.28","-0","-1.96%"
"May 05, 2004","1.27","1.28","1.28","1.27","-0","-0.91%"
"May 06, 2004","1.28","1.27","1.29","1.27","0","0.25%"
"May 07, 2004","1.29","1.28","1.3","1.28","0","0.84%"
"May 10, 2004","1.29","1.3","1.31","1.3","-0","-0.61%"
"May 11, 2004","1.29","1.3","1.31","1.29","-0","-0.78%"
"May 12, 2004","1.29","1.3","1.3","1.29","-0","-0.61%"
"May 13, 2004","1.3","1.29","1.31","1.29","0","0.2%"
"May 14, 2004","1.29","1.3","1.31","1.29","-0","-1.06%"
"May 17, 2004","1.27","1.3","1.3","1.27","-0","-2.06%"
"May 18, 2004","1.28","1.28","1.28","1.27","0","0.08%"
"May 19, 2004","1.27","1.28","1.29","1.27","-0","-0.89%"
"May 20, 2004","1.28","1.28","1.29","1.28","0","0.16%"
"May 21, 2004","1.27","1.28","1.29","1.27","-0","-0.8%"
"May 24, 2004","1.27","1.28","1.29","1.28","-0","-0.72%"
"May 25, 2004","1.27","1.28","1.28","1.27","-0","-0.86%"
"May 26, 2004","1.26","1.27","1.27","1.26","-0","-0.56%"
"May 27, 2004","1.24","1.27","1.27","1.24","-0","-2.5%"
"May 28, 2004","1.25","1.24","1.26","1.24","0","0.17%"
"May 31, 2004","1.25","1.25","1.26","1.25","0","-0.13%"
"Jun 01, 2004","1.24","1.25","1.26","1.24","-0","-1.03%"
"Jun 02, 2004","1.24","1.25","1.25","1.24","0","-0.12%"
"Jun 03, 2004","1.24","1.25","1.25","1.24","0","-0.41%"
"Jun 04, 2004","1.23","1.25","1.26","1.24","-0","-1.3%"
"Jun 07, 2004","1.23","1.24","1.24","1.23","-0","-0.61%"
"Jun 08, 2004","1.23","1.24","1.24","1.23","0","-0.29%"
"Jun 09, 2004","1.25","1.24","1.26","1.24","0","0.89%"
"Jun 10, 2004","1.24","1.25","1.26","1.24","-0","-1.28%"
"Jun 11, 2004","1.25","1.24","1.26","1.24","0","0.84%"
"Jun 14, 2004","1.25","1.26","1.27","1.25","-0","-0.96%"
"Jun 15, 2004","1.24","1.26","1.26","1.25","-0","-1.04%"
"Jun 16, 2004","1.26","1.25","1.27","1.25","0","0.92%"
"Jun 17, 2004","1.25","1.27","1.27","1.25","-0","-1.58%"
"Jun 18, 2004","1.24","1.25","1.26","1.24","-0","-1.3%"
"Jun 21, 2004","1.24","1.24","1.25","1.24","0","-0.24%"
"Jun 22, 2004","1.24","1.25","1.25","1.24","0","-0.19%"
"Jun 23, 2004","1.25","1.25","1.26","1.24","0","-0.12%"
"Jun 24, 2004","1.24","1.25","1.26","1.24","-0","-1.15%"
"Jun 25, 2004","1.24","1.24","1.25","1.24","0","-0.16%"
"Jun 28, 2004","1.24","1.25","1.26","1.24","0","-0.36%"
"Jun 29, 2004","1.26","1.25","1.27","1.25","0","0.9%"
"Jun 30, 2004","1.24","1.27","1.27","1.25","-0","-1.77%"
"Jul 01, 2004","1.24","1.25","1.26","1.25","0","-0.48%"
"Jul 02, 2004","1.23","1.25","1.25","1.23","-0","-1.81%"
"Jul 05, 2004","1.23","1.23","1.24","1.23","0","0.12%"
